Designator,Mid X,Mid Y,Rotation,Layer
BT1,68.12,-99.258075,180.0,top
D1,80.0,-110.27,270.0,top
D2,139.745,-116.75,0.0,top
D3,130.01,-116.75,0.0,top
D4,120.26,-116.75,0.0,top
Q1,108.865,-116.73,90.0,top
Q10,120.615,-125.77,90.0,top
Q11,139.365,-139.02,90.0,top
Q12,139.365,-131.98,90.0,top
Q13,120.615,-138.77,90.0,top
Q14,108.27,-157.365,0.0,top
Q15,130.98,-139.135,180.0,top
Q16,108.98,-122.365,0.0,top
Q17,109.0,-145.575,0.0,top
Q18,100.48,-133.635,0.0,top
Q19,100.48,-157.365,0.0,top
Q2,108.865,-139.98,90.0,top
Q20,123.77,-157.365,0.0,top
Q21,131.0,-151.635,0.0,top
Q3,100.365,-128.02,90.0,top
Q4,100.365,-151.77,90.0,top
Q5,116.23,-145.615,0.0,top
Q6,123.5,-145.635,0.0,top
Q7,116.0,-157.365,0.0,top
Q8,131.0,-145.635,0.0,top
Q9,120.615,-132.23,90.0,top
R1,76.19,-123.0,0.0,top
R10,128.25,-129.44,270.0,bottom
R11,110.75,-131.81,90.0,bottom
R12,140.75,-154.25,90.0,bottom
R13,138.19,-122.0,0.0,bottom
R14,97.25,-142.5,180.0,bottom
R15,99.44,-119.5,180.0,bottom
R16,133.25,-129.44,270.0,bottom
R17,76.19,-116.5,180.0,top
R18,62.5,-157.19,90.0,top
R2,76.19,-134.25,0.0,top
R3,76.19,-145.75,0.0,top
R4,76.19,-157.5,0.0,top
R5,110.44,-151.75,0.0,bottom
R6,133.06,-157.5,180.0,bottom
R7,121.75,-151.75,0.0,bottom
R8,136.5,-148.0,270.0,bottom
R9,115.25,-130.0,270.0,bottom
RV1,61.27,-116.46,0.0,top
SW1,88.01,-119.75,90.0,top
SW2,88.0,-131.0,90.0,top
SW3,88.0,-142.5,90.0,top
SW4,87.98,-154.25,90.0,top
